pop2023,city,country,growthRate,type,rank
1569560,Jining Shandong,China,0.0169,w,342
1568025,Tegucigalpa,Honduras,0.0271,w,343
1566999,Abu Dhabi,United Arab Emirates,0.0176,w,344
1552899,Gaoxiong,Taiwan,0.0038,w,345
1547258,Ranchi,India,0.0242,w,346
1544448,Edmonton,Canada,0.0168,w,347
1536171,Zhangjiakou,China,0.0221,w,348
1535316,Natal,Brazil,0.0157,w,349
1531860,Mandalay,Myanmar,0.0208,w,350
1529472,Gwangju,South Korea,0.002,w,351
1527728,Yekaterinburg,Russia,0.0043,w,352
1523629,Grande Sao Luis,Brazil,0.0083,w,353
1522121,Jabalpur,India,0.0177,w,354
1516795,Kota,India,0.0289,w,355
1512668,Huainan,China,0.0173,w,356
1505033,Asansol,India,0.0181,w,357
1496298,Chaozhou,China,0.0161,w,358
1491958,Nouakchott,Mauritania,0.0422,w,359
1483320,Yiwu,China,0.0324,w,360
1475016,Gwalior,India,0.0229,w,361
1466791,San Antonio,United States,0.0074,w,362
1465152,Allahabad,India,0.018,w,363
1461989,San Jose,Costa Rica,0.0143,w,364
1459678,Ganzhou,China,0.0384,w,365
1454222,Chon Buri,Thailand,0.0129,w,366
1451748,Amritsar,India,0.0187,w,367
1448124,Basra,Iraq,0.0244,w,368
1446810,Taizhou Jiangsu,China,0.0227,w,369
1443429,Homs,Syria,0.0328,w,370
1440396,Mombasa,Kenya,0.037,w,371
1437233,Niamey,Niger,0.0385,w,372
1437188,Ottawa,Canada,0.0102,w,373
1431538,Zurich,Switzerland,0.0084,w,374
1429315,Weihai,China,0.0284,w,375
1424982,Jiaxing,China,0.0372,w,376
1423395,Kisangani,DR Congo,0.0418,w,377
1422974,Hai Phong,Vietnam,0.0296,w,378
1421827,Joao Pessoa,Brazil,0.0099,w,379
1421052,Kharkiv,Ukraine,-0.0016,w,380
1416064,Taian Shandong,China,0.0187,w,381
1413474,Queretaro,Mexico,0.0174,w,382
1410791,San Diego,United States,0.0057,w,383
1408144,Belgrade,Serbia,0.0021,w,384
1407632,Konya,Turkey,0.0178,w,385
1400250,Cochabamba,Bolivia,0.0229,w,386
1398262,Kaifeng,China,0.0288,w,387
1391258,Rizhao,China,0.0282,w,388
1389776,Dhanbad,India,0.0162,w,389
1381498,Bucaramanga,Colombia,0.0117,w,390
1381005,Copenhagen,Denmark,0.0079,w,391
1379377,Dongying,China,0.0247,w,392
1378077,Liuan,China,0.0424,w,393
1377572,Nanchong,China,0.0283,w,394
1376453,Zunyi,China,0.0231,w,395
1373523,Liuyang,China,0.0478,w,396
1371998,Zhanjiang,China,0.0209,w,397
1369066,Taizhong,Taiwan,0.0108,w,398
1366783,Adelaide,Australia,0.0083,w,399
1365352,Suweon,South Korea,0.0114,w,400
1363510,Maceio,Brazil,0.0096,w,401
1358871,Samut Prakan,Thailand,0.0129,w,402
1354174,Qom,Iran,0.0156,w,403
1354025,Shiyan,China,0.0271,w,404
1351383,Mianyang Sichuan,China,0.0191,w,405
1348664,Bareilly,India,0.024,w,406
1348521,Joinville,Brazil,0.0107,w,407
1347240,Antalya,Turkey,0.0215,w,408
1337786,Helsinki,Finland,0.0075,w,409
1336387,Pointe-Noire,Republic of the Congo,0.0323,w,410
1336347,Dallas,United States,0.008,w,411
1329291,Ad-Dammam,Saudi Arabia,0.0189,w,412
1329284,Uyo,Nigeria,0.0511,w,413
1324652,Porto,Portugal,0.0033,w,414
1323339,Prague,Czech Republic,0.004,w,415
1323174,Yingkou,China,0.0269,w,416
1322916,Tengzhou,China,0.0324,w,417
1314178,Tanger,Morocco,0.0289,w,418
1312369,Aligarh,India,0.0264,w,419
1310754,Mwanza,Tanzania,0.0524,w,420
1310433,Suzhou,China,0.0345,w,421
1309168,Freetown,Sierra Leone,0.0291,w,422
1304565,Fushun Liaoning,China,0.0076,w,423
1303900,Maoming,China,0.025,w,424
1303355,Pekan Baru,Indonesia,0.0253,w,425
1301740,Moradabad,India,0.0273,w,426
1295928,Port Elizabeth,South Africa,0.012,w,427
1294486,Florianopolis,Brazil,0.0133,w,428
1293619,Ahvaz,Iran,0.0125,w,429
1291884,Kazan,Russia,0.0042,w,430
1291280,Astana,Kazakhstan,0.0299,w,431
1290039,Fes,Morocco,0.0179,w,432
1288245,Mysore,India,0.0215,w,433
1288114,Sofia,Bulgaria,0.001,w,434
1282479,Jieyang,China,0.0341,w,435
1281790,Ruian,China,0.0286,w,436
1276316,Lilongwe,Malawi,0.0442,w,437
1273325,San Luis Potosi,Mexico,0.0151,w,438
1270172,Dublin,Ireland,0.0113,w,439
1266034,Durg-Bhilainagar,India,0.0173,w,440
1261077,Baoji,China,0.0252,w,441
1257941,Jinhua,China,0.0346,w,442
1257642,Bhubaneswar,India,0.0258,w,443
1256581,Pingdingshan Henan,China,0.0253,w,444
1254519,Zhuzhou,China,0.0186,w,445
1254192,Barquisimeto,Venezuela,0.0109,w,446
1254160,Puning,China,0.0247,w,447
1252890,Abomey-Calavi,Benin,0.054,w,448
1252414,Chifeng,China,0.0232,w,449
1251332,Nizhniy Novgorod,Russia,-0.0013,w,450
1250668,Zhenjiang Jiangsu,China,0.0207,w,451
1248783,Bukavu,DR Congo,0.0491,w,452
1247551,Kigali,Rwanda,0.0325,w,453
1242945,Maracay,Venezuela,0.0109,w,454
1240926,Chelyabinsk,Russia,0.003,w,455
1239186,Nnewi,Nigeria,0.0532,w,456
1236271,Huaibei,China,0.0252,w,457
1232447,Islamabad,Pakistan,0.0287,w,458
1231445,Bogor,Indonesia,0.0202,w,459
1230644,Liupanshui,China,0.0399,w,460
1226427,Mendoza,Argentina,0.014,w,461
1224629,Nanyang Henan,China,0.0223,w,462
1223912,Xiangtan Hunan,China,0.0221,w,463
1221960,Tiruchirappalli,India,0.0175,w,464
1220634,Da Nang,Vietnam,0.0271,w,465
1220603,Merida,Mexico,0.0162,w,466
1216852,Benxi,China,0.0171,w,467
